severity_bucket,n_events,min_score,max_score,mean_score
high,94,0.5080877403992223,15.41389563375347,3.2648057817635263
low,95,-2.7411032851057966,-1.1164527010685295,-1.5302183598651817
medium,94,-1.1137125707177598,0.5053476100484526,-0.5800106308359494
