topic,relative_day,average_CAR,average_abnormal_return,n_events
accounting_financial_reporting,-150,0.00109427601064021,0.00109427601064021,121
accounting_financial_reporting,-149,0.002259957581454559,0.0011656815708143491,121
accounting_financial_reporting,-148,0.0015330061630499264,-0.0007269514184046328,121
accounting_financial_reporting,-147,0.0015797409249811113,4.6734761931184876e-05,121
accounting_financial_reporting,-146,0.003047294842417252,0.001467553917436141,121
accounting_financial_reporting,-145,0.005519979281358821,0.002472684438941569,121
accounting_financial_reporting,-144,0.004542287634353445,-0.0009776916470053767,121
accounting_financial_reporting,-143,0.005555744745609353,0.001013457111255909,121
accounting_financial_reporting,-142,0.004973416404803007,-0.000582328340806347,121
accounting_financial_reporting,-141,0.006212938030321143,0.001239521625518136,121
accounting_financial_reporting,-140,0.006414152498662297,0.00020121446834115472,121
accounting_financial_reporting,-139,0.0060326572589305735,-0.00038149523973172376,121
accounting_financial_reporting,-138,0.0060177375775606135,-1.4919681369959367e-05,121
accounting_financial_reporting,-137,0.007175392901754487,0.0011576553241938736,121
accounting_financial_reporting,-136,0.0077093586277034425,0.0005339657259489551,121
accounting_financial_reporting,-135,0.006079181110426889,-0.0016301775172765534,121
accounting_financial_reporting,-134,0.005796362152449915,-0.0002828189579769743,121
accounting_financial_reporting,-133,0.004620827652593934,-0.0011755344998559808,121
accounting_financial_reporting,-132,0.004295246082888031,-0.00032558156970590314,121
accounting_financial_reporting,-131,0.005946323163531102,0.0016510770806430705,122
accounting_financial_reporting,-130,0.008447714337547096,0.0025013911740159943,122
accounting_financial_reporting,-129,0.00650467501391118,-0.0019430393236359157,122
accounting_financial_reporting,-128,0.006768368468957421,0.0002636934550462413,122
accounting_financial_reporting,-127,0.0061510031807316765,-0.0006173652882257446,122
accounting_financial_reporting,-126,0.004849007904623092,-0.0013019952761085844,122
accounting_financial_reporting,-125,0.005106083059909751,0.0002570751552866588,122
accounting_financial_reporting,-124,0.00637867971535155,0.0012725966554417985,122
accounting_financial_reporting,-123,0.007374311844278286,0.0009956321289267367,122
accounting_financial_reporting,-122,0.004631486306695011,-0.0027428255375832747,122
accounting_financial_reporting,-121,0.005231140922450007,0.0005996546157549957,122
accounting_financial_reporting,-120,0.0050388666032427365,-0.00019227431920727038,122
accounting_financial_reporting,-119,0.0025983819729661255,-0.002440484630276611,122
accounting_financial_reporting,-118,0.0018645145904547123,-0.0007338673825114133,122
accounting_financial_reporting,-117,0.0033048786927650483,0.001440364102310336,122
accounting_financial_reporting,-116,0.0029577412468633217,-0.00034713744590172637,122
accounting_financial_reporting,-115,0.0033216556237657107,0.00036391437690238887,122
accounting_financial_reporting,-114,0.0036113519842707925,0.00028969636050508166,122
accounting_financial_reporting,-113,0.006140174179092564,0.0025288221948217716,122
accounting_financial_reporting,-112,0.006984532814828132,0.0008443586357355675,122
accounting_financial_reporting,-111,0.00574176281674222,-0.0012427699980859122,122
accounting_financial_reporting,-110,0.0077202129501941635,0.001978450133451944,122
accounting_financial_reporting,-109,0.006436953591360446,-0.001283259358833717,122
accounting_financial_reporting,-108,0.008384412654278726,0.0019474590629182784,122
accounting_financial_reporting,-107,0.0085346081716343,0.0001501955173555742,122
accounting_financial_reporting,-106,0.010300884922769612,0.0017662767511353126,122
accounting_financial_reporting,-105,0.008846060252765542,-0.001454824670004069,122
accounting_financial_reporting,-104,0.010123802125349385,0.0012777418725838428,122
accounting_financial_reporting,-103,0.010755619369747008,0.0006318172443976223,122
accounting_financial_reporting,-102,0.00832645456283162,-0.002429164806915388,122
accounting_financial_reporting,-101,0.006119715959732592,-0.0022067386030990275,122
accounting_financial_reporting,-100,0.0027086172246819098,-0.0034110987350506826,122
accounting_financial_reporting,-99,0.0024934502432516496,-0.00021516698143026017,122
accounting_financial_reporting,-98,0.0007312160866292433,-0.0017622341566224063,122
accounting_financial_reporting,-97,-0.0018781757008896783,-0.0026093917875189216,122
accounting_financial_reporting,-96,-0.0015579204090062804,0.00032025529188339785,122
accounting_financial_reporting,-95,-0.0021535495324944256,-0.0005956291234881451,122
