topic,topic_detail,n_events
accounting_financial_reporting,controls_accounting,102
accounting_financial_reporting,impairment_fair_value,18
accounting_financial_reporting,tax_debt_equity,12
business_structure,business_combinations,16
business_structure,segments,6
mda_liquidity,mda_liquidity,40
revenue_non_gaap,non_gaap,21
revenue_non_gaap,revenue,10
risk_legal_regulatory,risk_legal_regulatory,10
routine_other,other,24
routine_other,routine_disclosure,24
