topic,n_events,mean_severity,median_severity,mean_letter_word_count
accounting_financial_reporting,132,1.0124168684292008,-0.14299422847868193,1113.871212121212
routine_other,48,-1.5255271361948008,-1.6958803883016071,299.1875
mda_liquidity,40,-0.14414960729740758,-0.806022793541346,793.65
revenue_non_gaap,31,0.10450194344676202,-0.48989234017359257,859.8387096774194
business_structure,22,1.4592111544689759,-0.7923371720257222,1254.7727272727273
risk_legal_regulatory,10,1.7010054551425124,1.62189969670728,1252.3
