topic,n_events,mean_CAR_pre,mean_CAR_immediate,mean_CAR_drift,mean_severity
accounting_financial_reporting,132,0.003995004099655314,-0.005296200176777616,0.0010052753303826294,1.0124168684292008
business_structure,22,0.0028321175723807312,-0.00020420703221996073,-0.0536176479126288,1.4592111544689759
mda_liquidity,40,-0.007821241913807842,0.0024680097477673994,-0.0032281378412061857,-0.14414960729740758
revenue_non_gaap,31,0.004889255063052539,0.010119030232828152,0.012361082868882062,0.10450194344676202
risk_legal_regulatory,10,-0.01530874263512011,0.005737315337622529,-0.05745025300553119,1.7010054551425124
routine_other,48,-0.0009097978938926224,-0.004001844054559643,0.006061859959811532,-1.5255271361948008
