relative_day,average_CAR,average_abnormal_return,n_events
-3,0.0007462983716595557,0.0007462983716595557,273
-2,0.0008828025704639565,0.00013650419880440075,273
-1,0.0007200051058173642,-0.0001627974646465923,273
0,0.0007618171682282408,6.725393894152556e-05,283
1,-0.0023931139112675914,-0.0031549310794958324,283
2,-0.0015811306611148682,0.0008119832501527233,283
3,-0.0006533247718059833,0.0009278058893088848,283
4,-0.0016121287657960982,-0.0009588039939901149,283
5,-0.0007758825094228192,0.000836246256373279,283
6,0.0011770032012008306,0.00195288571062365,283
7,0.0016188161215520602,0.00044181292035122967,283
8,0.0016301159051426738,1.1299783590613626e-05,283
9,0.0016941778017169986,6.406189657432462e-05,283
10,0.003380593727516011,0.0016864159257990125,283
11,0.0037380681906215344,0.0003574744631055234,283
12,0.003473834165749723,-0.00026423402487181155,283
13,0.003714091602100208,0.00024025743635048508,283
14,0.002277852042929479,-0.0014362395591707292,283
15,0.003531498361437489,0.0012536463185080103,283
16,0.002962987874404669,-0.0005685104870328197,283
17,0.0036830365145625564,0.0007200486401578867,283
18,0.0035507518754576617,-0.00013228463910489404,283
19,0.0043302604943896055,0.000779508618931944,283
20,0.002989399273082856,-0.0013408612213067499,283
21,0.005682777774766055,0.002693378501683199,283
22,0.004750175059309972,-0.0009326027154560833,283
23,0.004158341520411645,-0.0005918335388983271,283
24,0.0038321719083272785,-0.00032616961208436633,283
25,0.0026973128559022396,-0.0011348590524250387,283
26,0.0033185405183835726,0.0006212276624813328,283
27,0.004841082027375669,0.0015225415089920962,283
28,0.004691849727823105,-0.0001492322995525631,283
29,0.004186709243823451,-0.000505140483999654,283
30,0.004222948242981662,3.62389991582108e-05,283
31,0.005665545640149244,0.0014425973971675806,283
32,0.004686548417802219,-0.0009789972223470244,283
33,0.006113582356387979,0.0014270339385857604,283
34,0.005598181060051826,-0.0005154012963361528,283
35,0.0054344289846265,-0.0001637520754253259,283
36,0.007322524788996478,0.0018880958043699775,283
37,0.008187187606772093,0.0008646628177756136,283
38,0.006834078043812649,-0.001353109562959443,283
39,0.004826226054318386,-0.002007851989494262,283
40,0.0038175530685340513,-0.0010086729857843356,283
41,0.004427118014368644,0.0006095649458345939,283
42,0.004133520131604278,-0.0002935978827643673,283
43,0.0033397821396916423,-0.0007937379919126351,283
44,0.004649203690001321,0.001309421550309679,283
45,0.004494997299908421,-0.00015420639009290033,283
46,0.0040456919190651275,-0.00044930538084329385,283
47,0.0029210794954832894,-0.0011246124235818375,283
48,7.217427882784326e-05,-0.0028489052166554463,283
49,0.0009966201533925672,0.000924445874564724,283
50,0.0012947926008718157,0.00029817244747924857,283
51,0.0010346098741298645,-0.0002601827267419513,283
52,0.0007556780281191085,-0.0002789318460107561,283
53,-0.0002395979274450347,-0.0009952759555641431,283
54,-0.0023693995678649694,-0.0021298016404199347,283
55,-0.0024401930328299013,-7.079346496493159e-05,283
56,-0.0035898829169556073,-0.0011496898841257066,283
57,-0.003048946310436924,0.000540936606518684,283
58,-0.002469375568213063,0.0005795707422238607,283
59,-0.002662218327441329,-0.00019284275922826574,283
60,-0.003041564835886913,-0.0003793465084455843,283
