event_id,ticker,event_date,topic,topic_detail,severity_score,CAR_-3_-1,CAR_-1_3,CAR_1_60,pre_event_volatility,regression_inclusion_status
A_000000000016092800,A,2016-09-14,routine_other,routine_disclosure,-0.5955592894760546,-0.02074402121755925,-0.008837896058644712,-0.03125044004767907,0.013942042209332196,included
ABBV_000000000018013671,ABBV,2018-05-02,accounting_financial_reporting,controls_accounting,-0.6420826602302503,0.05330551125913696,0.023947221394890472,-0.1570317999747748,0.020600815855463923,included
ABBV_000000000020009552,ABBV,2020-10-09,accounting_financial_reporting,controls_accounting,2.402751473954108,-0.018413783945659845,-0.019019865909845723,0.12718633565095316,0.025861382684517625,included
ABBV_000000000022010309,ABBV,2022-09-20,accounting_financial_reporting,controls_accounting,-1.3263762383027338,0.033596471378831705,0.03965937849675294,0.12206796535443798,0.014996748799637014,included
ADM_000000000017044885,ADM,2017-12-22,routine_other,routine_disclosure,-0.8478554505941633,-0.0008938927997131918,0.0068572834144844386,0.06239830807872859,0.010317948157494228,included
ADM_000000000020007987,ADM,2020-08-25,accounting_financial_reporting,impairment_fair_value,0.540689919111737,-0.007702329203267522,-0.0024649973874101283,0.07956630412628352,0.03322170636304464,included
ADM_000000000021013296,ADM,2021-11-02,routine_other,routine_disclosure,-1.4311029466913827,-0.027654645314087234,-0.015762287838352096,0.23056315809475714,0.01200062972275626,included
ADM_000000000024005934,ADM,2024-05-22,accounting_financial_reporting,controls_accounting,3.8848369526852133,-0.010155376985244713,0.001031116208245808,-0.09131057937850262,0.026828499947207225,included
ADSK_000000000017022741,ADSK,2017-06-28,routine_other,routine_disclosure,-0.7800211053878794,-0.029993954378798704,-0.06042296907784439,0.04569420319295592,0.017047770955705654,included
ADSK_000000000018024031,ADSK,2018-08-03,revenue_non_gaap,revenue,2.272917484457938,0.024116298210830944,0.03770128817289142,0.02926312133492326,0.02250176502138205,included
AFL_000000000016074172,AFL,2016-04-28,accounting_financial_reporting,controls_accounting,2.061693473273727,0.018769541314545557,0.027537478125506887,0.018014488927609262,0.012467219325473549,included
AFL_000000000017014838,AFL,2017-04-28,accounting_financial_reporting,controls_accounting,-1.4382434040815177,-0.0006637243512551683,-0.0008150810133062958,0.0050128100676004594,0.008891230637067966,included
AFL_000000000023008707,AFL,2023-08-10,routine_other,other,-1.6958803883016071,-0.012836339855771262,-0.004085110860093888,0.11093701454913063,0.014407055888488545,included
AJG_000000000016075772,AJG,2016-05-10,accounting_financial_reporting,controls_accounting,-0.7919218677047712,-0.007479372718469546,0.008423297465259827,-0.009015772157256574,0.011736084131645062,included
AJG_000000000016102009,AJG,2016-11-22,routine_other,other,-1.6804093972896474,0.0002248897867301869,-0.014772546895370775,0.025754962920837676,0.010473871662107608,included
AJG_000000000022012653,AJG,2022-11-22,routine_other,other,-1.6958803883016071,0.0348111437458678,0.011015461638884227,-0.05537075779311029,0.017528091785014535,included
AJG_000000000024002978,AJG,2024-03-19,accounting_financial_reporting,controls_accounting,-1.9110398885920077,-0.0037122123710234822,-0.048347243637385295,-0.019407495745438985,0.012084367929475526,included
AJG_000000000024010451,AJG,2024-09-16,routine_other,routine_disclosure,-2.7411032851057966,-0.028578480440781484,-0.07025588657094417,-0.12020096094481092,0.010384367190767203,included
