ticker,start_date,end_date,trading_days,mean_return,return_volatility,is_benchmark,is_event_ticker
SPY,2015-09-09,2026-03-17,2645,0.0005925676342926322,0.011235557898036862,True,False
A,2015-09-09,2026-03-17,2645,0.0006104999268120845,0.017229608484068615,False,True
ABBV,2015-09-09,2026-03-17,2645,0.0007924158680095668,0.016734905673772126,False,True
ADM,2015-09-09,2026-03-17,2645,0.00045731391766040604,0.017126543470293052,False,True
ADSK,2015-09-09,2026-03-17,2645,0.0008992485055564721,0.02285751539377287,False,True
AFL,2015-09-09,2026-03-17,2645,0.0007264548701914433,0.01601272543642182,False,True
AJG,2015-09-09,2026-03-17,2645,0.0007742531463168125,0.01421911507921721,False,True
ALL,2015-09-09,2026-03-17,2645,0.0006876435603255759,0.015449689224601194,False,True
AMT,2015-09-09,2026-03-17,2645,0.0005010567079454311,0.016256432133529303,False,True
AON,2015-09-09,2026-03-17,2645,0.000612053976454796,0.014502822271853878,False,True
APP,2021-04-16,2026-03-17,1235,0.0027482882406231757,0.04911205447924242,False,True
AVY,2015-09-09,2026-03-17,2645,0.0006160680409343975,0.016853578134088196,False,True
BBY,2015-09-09,2026-03-17,2645,0.0006159206849389187,0.02377854485306387,False,True
BKR,2015-09-09,2026-03-17,2645,0.0005667971805283481,0.024902327588766652,False,True
BRK-B,2015-09-09,2026-03-17,2645,0.0005701729068211173,0.012223198780373546,False,True
BSX,2015-09-09,2026-03-17,2645,0.0006857838168306232,0.016838882301805115,False,True
BXP,2015-09-09,2026-03-17,2645,7.846515336302649e-05,0.01986210345489085,False,True
C,2015-09-09,2026-03-17,2645,0.0006107606217887787,0.02095451859882458,False,True
CARR,2020-03-20,2026-03-17,1505,0.0013567694814219107,0.023402980231376415,False,True
CASY,2015-09-09,2026-03-17,2645,0.0008784802776028429,0.01729156683661516,False,True
CAT,2015-09-09,2026-03-17,2645,0.0011320411847161745,0.019220755079649064,False,True
CB,2015-09-09,2026-03-17,2645,0.0006286135634173272,0.014772658142008132,False,True
CCI,2015-09-09,2026-03-17,2645,0.00032219803747109594,0.015995050301903662,False,True
CDNS,2015-09-09,2026-03-17,2645,0.0012161525626449895,0.020802357608471305,False,True
CEG,2022-01-20,2026-03-17,1042,0.0024216990951026543,0.03103537504957599,False,True
CHRW,2015-09-09,2026-03-17,2645,0.000594231822865236,0.017680978930883072,False,True
CIEN,2015-09-09,2026-03-17,2645,0.0014212761325679837,0.0272365998395153,False,True
COF,2015-09-09,2026-03-17,2645,0.0006716188960701395,0.0232312557529539,False,True
CTSH,2015-09-09,2026-03-17,2645,0.00019810878378169724,0.017915786774855336,False,True
DASH,2020-12-10,2026-03-17,1321,0.0005703739384378543,0.03617845861640196,False,True
DRI,2015-09-09,2026-03-17,2645,0.0008054120886763966,0.022265426365654352,False,True
EA,2015-09-09,2026-03-17,2645,0.0005789174855912462,0.018034626952207502,False,True
EBAY,2015-09-09,2026-03-17,2645,0.0007181819396769908,0.019656099257698154,False,True
ESS,2015-09-09,2026-03-17,2645,0.0003269775680757346,0.016173758143434063,False,True
ETN,2015-09-09,2026-03-17,2645,0.0009665678622571797,0.01856029974199414,False,True
EXPE,2015-09-09,2026-03-17,2645,0.000679317842999454,0.027321429694737352,False,True
F,2015-09-09,2026-03-17,2645,0.00042602258254873193,0.022892206096893623,False,True
FCX,2015-09-09,2026-03-17,2645,0.0012454951102081756,0.03336093047502502,False,True
FIX,2015-09-09,2026-03-17,2645,0.001848409177559732,0.026157547544654575,False,True
