event_id,ticker,event_date,actual_event_trading_day,date,relative_day,return,market_return,abnormal_return,CAR,volume,volatility_proxy
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-09,-3,-0.045512510150987895,-0.023934758398053257,-0.021577751752934637,-0.021577751752934637,2507000.0,
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-12,-2,0.019385272331602588,0.014347435227567651,0.005037837104034937,-0.0165399146488997,1835400.0,0.045889662077409264
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-13,-1,-0.018579605560208323,-0.014375498991548774,-0.004204106568659549,-0.02074402121755925,3461800.0,0.03260479380447446
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-14,0,-0.0008906870782684484,-0.0003750593885928355,-0.0005156276896756129,-0.021259648907234863,1604800.0,0.027528099183044323
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-15,1,0.012928817009800975,0.009992930210599882,0.002935886799201093,-0.01832376210803377,1734000.0,0.02620533233647832
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-16,2,-0.014304315329524586,-0.0038655154194849883,-0.010438799910039598,-0.028762562018073368,2592900.0,0.016531220258970438
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-19,3,0.003572049197737126,0.00018729788720817098,0.003384751310528955,-0.025377810707544413,1927900.0,0.012950346686028617
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-20,4,0.01690780360166233,4.6565797430009326e-05,0.01686123780423232,-0.008516572903312092,2333000.0,0.012296817594934954
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-21,5,0.007219509189055895,0.011245574581023154,-0.0040260653919672595,-0.012542638295279351,1612600.0,0.012082355499484556
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-22,6,0.013683534202932002,0.006301604882075651,0.007381929320856351,-0.005160708974423001,1306400.0,0.012206118425456724
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-23,7,-0.0012854929019932015,-0.005479109381149483,0.004193616479156281,-0.0009670924952667193,1957000.0,0.007383866216416101
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-26,8,-0.0008582750562154962,-0.008102456960069948,0.007244181903854452,0.006277089408587733,2639100.0,0.008264309809886853
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-27,9,0.0027917458412980434,0.006208175347761857,-0.003416429506463814,0.0028606599021239187,1587100.0,0.0062580765920829794
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-28,10,0.010278127525924718,0.004963622859994743,0.0053145046659299755,0.008175164568053894,1502500.0,0.006744166261881633
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-29,11,-0.01632048785754836,-0.009047603065464704,-0.007272884792083656,0.0009022797759702383,1938200.0,0.00970001713739395
A_000000000016092800,A,2016-09-14,2016-09-14,2016-09-30,12,0.017172658481967806,0.007546401092087596,0.00962625738988021,0.010528537165850449,1754300.0,0.012661916302842339
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-03,13,0.0010616756801506977,-0.0024043556858523996,0.0034660313660030972,0.013994568531853546,1538800.0,0.01255903119011882
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-04,14,-0.006576018278055873,-0.0050977806496069755,-0.0014782376284488974,0.012516330903404649,1764000.0,0.0132755584531839
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-05,15,0.006833238009354536,0.004425322883366167,0.002407915125988369,0.014924246029393018,1431900.0,0.01276107490609529
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-06,16,0.003181409520809142,0.000695500476322275,0.002485909044486867,0.017410155073879885,1772800.0,0.008691122059063396
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-07,17,0.0016911392018086335,-0.003429278262318869,0.005120417464127502,0.022530572538007387,1663100.0,0.004908636154309312
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-10,18,0.006542621022882278,0.005208326874697189,0.001334294148185089,0.023864866686192476,1544900.0,0.00544232099049308
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-11,19,-0.04193748953403997,-0.012629358754287279,-0.029308130779752695,-0.005443264093560218,2912500.0,0.020910516846733267
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-12,20,-0.004814511218050321,0.0013120494567346874,-0.006126560674785009,-0.011569824768345227,1736100.0,0.01992474234310717
A_000000000016092800,A,2016-09-14,2016-09-14,2016-10-13,21,-0.00681789784690312,-0.0032757424116348632,-0.003542155435268257,-0.015111980203613484,1336000.0,0.019124650525221533
