ticker,firm_name,gics_sector,gics_sub_industry,headquarters_location,date_added,cik,founded,source_name,source_url
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,0000008670,1949,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ADSK,Autodesk,Information Technology,Application Software,"San Francisco , California",1989-12-01,0000769397,1982,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis , Missouri",1991-09-19,0001002910,1902,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AIG,American International Group,Financials,Multi-line Insurance,"New York City , New York",1980-03-31,0000005272,1919,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta , Georgia",2007-04-10,0001267238,1892,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,0000354190,1927,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,0001097149,1997,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1995-07-13,0000899051,1931,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ALLE,Allegion,Industrials,Building Products,"Dublin , Ireland",2013-12-02,0001579241,1908,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,0000006951,1967,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley , Bristol , United Kingdom",2019-06-07,0001748790,2019 (1860),Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,1969,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis , Minnesota",2005-10-03,0000820027,1894,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston , Massachusetts",2007-11-19,0001053507,1995,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle , Washington",2005-11-18,0001018724,1994,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,2004,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AON,Aon plc,Financials,Insurance Brokers,"London , United Kingdom",1996-04-23,0000315293,1982 (1919),Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee , Wisconsin",2017-07-26,0000091142,1916,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston , Texas",1997-07-28,0001841666,1954,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1985-04-30,0000002969,1940,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City , New York",2024-12-23,0001858681,1990,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APP,AppLovin,Information Technology,Application Software,"Palo Alto, California",2025-09-22,0001751008,2012,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Schaffhausen , Switzerland",2012-12-24,0001521332,1994,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ARES,Ares Management,Financials,Asset Management & Custody Banks,"Los Angeles , California",2025-12-11,0001176948,1977,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas , Texas",2019-02-15,0000731802,1906,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,0000915912,1978,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2014-05-08,0001730168,1961,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",1987-12-31,0000008818,1935,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0001410636,1886,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023-05-04,0001069183,1993,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
AXP,American Express,Financials,Consumer Finance,"New York City , New York",1976-06-30,0000004962,1850,Wikipedia List of S&P 500 companies,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
